fecha,idProducto,nombreProducto,demanda_predicha
2025-01-19,1736572475069,Piqueos,1.32
2025-01-19,1736791587149,Monster,1.49
2025-01-19,1736792470256,Helado sorpresa,1.32
2025-01-19,1736793541376,Leche gloria tarro grande,1.39
2025-01-19,1736817949478,Casino de menta grande,1.61
2025-01-19,1736870729032,Agua cielo chica,1.36
2025-01-19,1736870813358,Agua cielo litro,1.52
2025-01-19,1736871131068,Volt azul (bala azul Ball azul bola azul Bol azul ) ),1.39
2025-01-19,1736871170912,Queque,1.34
2025-01-19,1736871238422,Harina pan,1.49
2025-01-19,1736871307601,Aceite mirasol litro,1.49
2025-01-19,1736958764229,Sporade chico ( Es por ahí ),2.25
2025-01-19,1736959106643,Nick chocolate grande,1.37
2025-01-19,1736959229441,Chupetín,1.45
2025-01-19,1736959408826,rix chica galleta,1.09
2025-01-19,1736959595297,Coca-cola chica 237ml,1.13
2025-01-19,1736960027613,Pepsi 1 litro,1.43
2025-01-19,1736963453171,Leche gloria amarilla tarro,1.16
2025-01-19,1736964234318,Papel suave,1.02
2025-01-19,1736964563786,Coca-Cola de 2 litros y medio retornable,1.43
2025-01-19,1736964788887,Ajinomen de gallina Sin picar (allí no men),1.34
2025-01-19,1736964875200,Cigarro golden rojo,1.93
2025-01-19,1736966347433,Shampoo pantene rosado (champú pantene rosado),1.19
2025-01-19,1736966542774,Cerveza pilsen normal,2.0
2025-01-19,1736966574084,Coca-cola personal,1.5
2025-01-19,1736971188791,Cuates picante,1.24
2025-01-19,1736971210947,Papel noble,1.23
2025-01-19,1736971689507,Pañal huggies doble xg,2.16
2025-01-19,1736971728503,Pepsi chica,1.81
2025-01-19,1736972545282,Galleta animalito chica 60 gramos,1.05
2025-01-19,1736977440816,Gaseosa KR personal,1.03
2025-01-19,1736977896870,Inca kola litro y medio (1.5L),1.11
2025-01-19,1736992924874,Flan,1.07
2025-01-19,1736992974378,Guaraná 3 litros,1.22
2025-01-19,1736993026408,Leche gloria tarro chico,1.01
2025-01-19,1736993074714,Fósforo,1.01
2025-01-19,1736993116926,Helado kit kat de litro donofrio,1.52
2025-01-19,1736977944754,Inca kola personal,1.16
2025-01-19,1737130232468,Inca kola de un litro de vidrio (1L),1.04
2025-01-19,1737130300496,Cerveza pilsen de un litro (1L),1.22
2025-01-19,1737230270045,Agua cielo grande 2.5litros,1.16
2025-01-19,1737230321602,Helado frío rico,1.04
2025-01-20,1736572475069,Piqueos,1.29
2025-01-20,1736791587149,Monster,1.6
2025-01-20,1736792470256,Helado sorpresa,1.29
2025-01-20,1736793541376,Leche gloria tarro grande,1.55
2025-01-20,1736817949478,Casino de menta grande,1.83
2025-01-20,1736870729032,Agua cielo chica,1.33
2025-01-20,1736870813358,Agua cielo litro,1.72
